Country,Country Code,Region,Income Group,Avg Pop Factor,Estimated Population
Congo-Kinshasa,COD,Sub-Saharan Africa,Low income,1.03,89627408
Costa Rica,CRI,Latin America & Caribbean,Upper middle income,1.01,5112279
Cote d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income,1.02,26328075
Croatia,HRV,Europe & Central Asia,High income,0.995,4047431
Cuba,CUB,Latin America & Caribbean,Upper middle income,1.0,11344487
Curacao,CUW,Latin America & Caribbean,High income,1.01,158894
Cyprus,CYP,Europe & Central Asia,High income,1.01,1213780
Czech Republic,CZE,Europe & Central Asia,High income,1.0,10691991
Denmark,DNK,Europe & Central Asia,High income,1.0,5844918
Djibouti,DJI,Middle East & North Africa,Lower middle income,1.02,989318
Dominica,DMA,Latin America & Caribbean,Upper middle income,1.0,71923
Dominican Republic,DOM,Latin America & Caribbean,Upper middle income,1.01,10873861
Early-demographic dividend,EAR,,,1.02,3340123074
East Asia & Pacific,EAS,,,1.01,2357160909
East Asia & Pacific (IDA & IBRD countries),TEA,,,1.01,2083542058
East Asia & Pacific (excluding high income),EAP,,,1.01,2109384862
Ecuador,ECU,Latin America & Caribbean,Upper middle income,1.02,17663952
Egypt,EGY,Middle East & North Africa,Lower middle income,1.02,102401930
El Salvador,SLV,Latin America & Caribbean,Lower middle income,1.0,6484784
Equatorial Guinea,GNQ,Sub-Saharan Africa,Upper middle income,1.04,1414679
Eritrea,ERI,Sub-Saharan Africa,Low income,1.02,3271641
Estonia,EST,Europe & Central Asia,High income,0.997,1322985
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,1.01,1156178
Ethiopia,ETH,Sub-Saharan Africa,Low income,1.03,115225778
Euro area,EMU,,,1.0,343756335
Europe & Central Asia,ECS,,,1.0,924403503
Europe & Central Asia (IDA & IBRD countries),TEC,,,1.0,462237407
Europe & Central Asia (excluding high income),ECA,,,1.0,401064272
European Union,EUU,,,1.0,448490116
Faroe Islands,FRO,Europe & Central Asia,High income,1.0,48782
Fiji,FJI,East Asia & Pacific,Upper middle income,1.0,894315
Finland,FIN,Europe & Central Asia,High income,1.0,5539046
Fragile and conflict affected situations,FCS,,,1.02,779135048
France,FRA,Europe & Central Asia,High income,1.01,67400097
French Polynesia,PYF,East Asia & Pacific,High income,1.01,281482
Gabon,GAB,Sub-Saharan Africa,Upper middle income,1.03,2238772
Gambia,GMB,Sub-Saharan Africa,Low income,1.03,2420166
Georgia,GEO,Europe & Central Asia,Upper middle income,0.995,3702495
Germany,DEU,Europe & Central Asia,High income,1.0,83181573
Ghana,GHA,Sub-Saharan Africa,Lower middle income,1.02,31156750
Gibraltar,GIB,Europe & Central Asia,High income,1.0,33845
Greece,GRC,Europe & Central Asia,High income,1.0,10711633
Greenland,GRL,Europe & Central Asia,High income,1.0,56226
Grenada,GRD,Latin America & Caribbean,Upper middle income,1.0,112508
Guam,GUM,East Asia & Pacific,High income,1.0,167949
Guatemala,GTM,Latin America & Caribbean,Upper middle income,1.02,16921203
Guinea,GIN,Sub-Saharan Africa,Low income,1.02,13069150
Guinea-Bissau,GNB,Sub-Saharan Africa,Low income,1.03,1968970
Guyana,GUY,Latin America & Caribbean,Upper middle income,1.0,784711
Haiti,HTI,Latin America & Caribbean,Low income,1.02,11433736
Heavily indebted poor countries (HIPC),HPC,,,1.03,824405480
High income,HIC,,,1.01,1243362659
Honduras,HND,Latin America & Caribbean,Lower middle income,1.02,9950157
"Hong Kong SAR, China",HKG,East Asia & Pacific,High income,1.01,7554575
Hungary,HUN,Europe & Central Asia,High income,0.998,9747272
IBRD only,IBD,,,1.01,4864359488
IDA & IBRD total,IBT,,,1.01,6571941460
IDA blend,IDB,,,1.02,574854478
IDA only,IDX,,,1.02,1134804698
IDA total,IDA,,,1.02,1709658265
Iceland,ISL,Europe & Central Asia,High income,1.01,366111
India,IND,South Asia,Lower middle income,1.01,1385037543
Indonesia,IDN,East Asia & Pacific,Upper middle income,1.01,274158671
Iran,IRN,Middle East & North Africa,Upper middle income,1.01,83940798
Iraq,IRQ,Middle East & North Africa,Upper middle income,1.03,40388955
Ireland,IRL,Europe & Central Asia,High income,1.01,5009870
Isle of Man,IMN,Europe & Central Asia,High income,1.0,85007
Israel,ISR,Middle East & North Africa,High income,1.02,9228573
Italy,ITA,Europe & Central Asia,High income,1.0,60479368
Jamaica,JAM,Latin America & Caribbean,Upper middle income,1.01,2964600
Japan,JPN,East Asia & Pacific,High income,1.0,126234579
Jordan,JOR,Middle East & North Africa,Upper middle income,1.04,10469259
Kazakhstan,KAZ,Europe & Central Asia,Upper middle income,1.01,18727834
Kenya,KEN,Sub-Saharan Africa,Lower middle income,1.03,53969028
Kiribati,KIR,East Asia & Pacific,Lower middle income,1.02,119678
Kosovo,XKX,Europe & Central Asia,Upper middle income,1.0,1799351
Kuwait,KWT,Middle East & North Africa,High income,1.04,4369870
Kyrgyzstan,KGZ,Europe & Central Asia,Lower middle income,1.01,6551463
Laos,LAO,East Asia & Pacific,Lower middle income,1.02,7282659
Late-demographic dividend,LTE,,,1.01,2312642033
Latin America & Caribbean,LCN,,,1.01,653818281
Latin America & Caribbean (excluding high income),LAC,,,1.01,620894516
Latin America & the Caribbean (IDA & IBRD countries),TLA,,,1.01,638067999
Latvia,LVA,Europe & Central Asia,High income,0.989,1891436
Least developed countries: UN classification,LDC,,,1.02,1058300062
Lebanon,LBN,Middle East & North Africa,Upper middle income,1.03,7067806
Lesotho,LSO,Sub-Saharan Africa,Lower middle income,1.0,2130249
Liberia,LBR,Sub-Saharan Africa,Low income,1.03,5082402
Libya,LBY,Middle East & North Africa,Upper middle income,1.01,6861810
Liechtenstein,LIE,Europe & Central Asia,High income,1.01,38292
Lithuania,LTU,Europe & Central Asia,High income,0.988,2753642
Low & middle income,LMY,,,1.01,6523003247
Low income,LIC,,,1.03,686607931
Lower middle income,LMC,,,1.02,2959908874
Luxembourg,LUX,Europe & Central Asia,High income,1.02,631462
"Macao SAR, China",MAC,East Asia & Pacific,High income,1.02,654193
Madagascar,MDG,Sub-Saharan Africa,Low income,1.03,27742116
Malawi,MWI,Sub-Saharan Africa,Low income,1.03,19138955
Malaysia,MYS,East Asia & Pacific,Upper middle income,1.02,32492881
Maldives,MDV,South Asia,Upper middle income,1.03,549201
Mali,MLI,Sub-Saharan Africa,Low income,1.03,20273208
Malta,MLT,Middle East & North Africa,High income,1.01,509405
Marshall Islands,MHL,East Asia & Pacific,Upper middle income,1.01,59248
Mauritania,MRT,Sub-Saharan Africa,Lower middle income,1.03,4656829
Mauritius,MUS,Sub-Saharan Africa,High income,1.0,1270002
Mexico,MEX,Latin America & Caribbean,Upper middle income,1.01,129296552
"Micronesia, Fed. Sts.",FSM,East Asia & Pacific,Lower middle income,1.0,114163
Middle East & North Africa,MEA,,,1.02,465698964
Middle East & North Africa (IDA & IBRD countries),TMN,,,1.02,391532713
Middle East & North Africa (excluding high income),MNA,,,1.02,396333407
Middle income,MIC,,,1.01,5837667840
Moldova,MDA,Europe & Central Asia,Lower middle income,0.995,2644321
Monaco,MCO,Europe & Central Asia,High income,1.01,39360
Mongolia,MNG,East Asia & Pacific,Lower middle income,1.02,3275907
Montenegro,MNE,Europe & Central Asia,Upper middle income,1.0,623055
Morocco,MAR,Middle East & North Africa,Lower middle income,1.01,36928356
Mozambique,MOZ,Sub-Saharan Africa,Low income,1.03,31239950
Myanmar,MMR,East Asia & Pacific,Lower middle income,1.01,54461338
Namibia,NAM,Sub-Saharan Africa,Upper middle income,1.02,2538146
Nauru,NRU,East Asia & Pacific,High income,1.01,12712
Nepal,NPL,South Asia,Lower middle income,1.01,28878161
Netherlands,NLD,Europe & Central Asia,High income,1.0,17410273
New Caledonia,NCL,East Asia & Pacific,High income,1.02,292379
New Zealand,NZL,East Asia & Pacific,High income,1.01,4980192
Nicaragua,NIC,Latin America & Caribbean,Lower middle income,1.01,6634142
Niger,NER,Sub-Saharan Africa,Low income,1.04,24212703
Nigeria,NGA,Sub-Saharan Africa,Lower middle income,1.03,206287339
North America,NAC,,,1.01,368917486
North Korea,PRK,East Asia & Pacific,Low income,1.01,25818946
North Macedonia,MKD,Europe & Central Asia,Upper middle income,1.0,2086051
Northern Mariana Islands,MNP,East Asia & Pacific,High income,1.0,57204
Norway,NOR,Europe & Central Asia,High income,1.01,5397277
OECD members,OED,,,1.01,1369137890
Oman,OMN,Middle East & North Africa,High income,1.04,5184983
Other small states,OSS,,,1.02,32036020
Pacific island small states,PSS,,,1.01,2525338
Pakistan,PAK,South Asia,Lower middle income,1.02,221401759
Palau,PLW,East Asia & Pacific,High income,0.997,17952
Panama,PAN,Latin America & Caribbean,High income,1.02,4322523
Papua New Guinea,PNG,East Asia & Pacific,Lower middle income,1.02,8965661
Paraguay,PRY,Latin America & Caribbean,Upper middle income,1.01,7149293
Peru,PER,Latin America & Caribbean,Upper middle income,1.01,32864731
Philippines,PHL,East Asia & Pacific,Lower middle income,1.02,109991190
Poland,POL,Europe & Central Asia,High income,1.0,37955789
Portugal,PRT,Europe & Central Asia,High income,1.0,10268340
Post-demographic dividend,PST,,,1.0,1118003566
Pre-demographic dividend,PRE,,,1.03,972141328
Puerto Rico,PRI,Latin America & Caribbean,High income,0.991,3164145
Qatar,QAT,Middle East & North Africa,High income,1.09,3075130
Romania,ROU,Europe & Central Asia,High income,0.992,19206406
Russia,RUS,Europe & Central Asia,Upper middle income,0.999,144257456
Rwanda,RWA,Sub-Saharan Africa,Low income,1.02,12939597
Saint Kitts and Nevis,KNA,Latin America & Caribbean,High income,1.01,53329
Saint Lucia,LCA,Latin America & Caribbean,Upper middle income,1.01,184276
Saint Martin,MAF,Latin America & Caribbean,High income,1.01,38551
Saint Vincent and the Grenadines,VCT,Latin America & Caribbean,Upper middle income,1.0,110739
Samoa,WSM,East Asia & Pacific,Upper middle income,1.01,198367
San Marino,SMR,Europe & Central Asia,High income,1.01,34235
Sao Tome and Principe,STP,Sub-Saharan Africa,Lower middle income,1.02,219784
Saudi Arabia,SAU,Middle East & North Africa,High income,1.03,35193121
Senegal,SEN,Sub-Saharan Africa,Lower middle income,1.03,16738651
Serbia,SRB,Europe & Central Asia,Upper middle income,0.996,6916136
Seychelles,SYC,Sub-Saharan Africa,High income,1.01,98581
Sierra Leone,SLE,Sub-Saharan Africa,Low income,1.03,8035550
Singapore,SGP,East Asia & Pacific,High income,1.02,5808951
Sint Maarten (Dutch part),SXM,Latin America & Caribbean,High income,1.02,41357
Slovakia,SVK,Europe & Central Asia,High income,1.0,5457535
Slovenia,SVN,Europe & Central Asia,High income,1.0,2093292
Small states,SST,,,1.02,41998233
Solomon Islands,SLB,East Asia & Pacific,Lower middle income,1.03,687119
Somalia,SOM,Sub-Saharan Africa,Low income,1.03,15900001
South Africa,ZAF,Sub-Saharan Africa,Upper middle income,1.01,59377844
South Asia,SAS,,,1.01,1862783886
South Asia (IDA & IBRD),TSA,,,1.01,1862783886
South Korea,KOR,East Asia & Pacific,High income,1.01,51969149
South Sudan,SSD,Sub-Saharan Africa,Low income,1.03,11404450
Spain,ESP,Europe & Central Asia,High income,1.01,47446923
Sri Lanka,LKA,South Asia,Lower middle income,1.01,21975096
Sub-Saharan Africa,SSF,,,1.03,1137018975
Sub-Saharan Africa (IDA & IBRD countries),TSS,,,1.03,1137018975
Sub-Saharan Africa (excluding high income),SSA,,,1.03,1135658978
Sudan,SDN,Sub-Saharan Africa,Low income,1.02,43841361
Suriname,SUR,Latin America & Caribbean,Upper middle income,1.01,587853
Sweden,SWE,Europe & Central Asia,High income,1.01,10365785
Switzerland,CHE,Europe & Central Asia,High income,1.01,8655059
Syrian Arab Republic,SYR,Middle East & North Africa,Low income,1.0,17105559
Tajikistan,TJK,Europe & Central Asia,Low income,1.02,9521881
Tanzania,TZA,Sub-Saharan Africa,Lower middle income,1.03,59706016
Thailand,THA,East Asia & Pacific,Upper middle income,1.01,69995759
Timor-Leste,TLS,East Asia & Pacific,Lower middle income,1.02,1319238
Togo,TGO,Sub-Saharan Africa,Low income,1.03,8295910
Tonga,TON,East Asia & Pacific,Upper middle income,1.0,104849
Trinidad and Tobago,TTO,Latin America & Caribbean,High income,1.01,1402047
Tunisia,TUN,Middle East & North Africa,Lower middle income,1.01,11809860
Turkey,TUR,Europe & Central Asia,Upper middle income,1.01,84655122
Turkmenistan,TKM,Europe & Central Asia,Upper middle income,1.01,6028529
Turks and Caicos Islands,TCA,Latin America & Caribbean,High income,1.03,39497
Tuvalu,TUV,East Asia & Pacific,Upper middle income,1.01,11778
Uganda,UGA,Sub-Saharan Africa,Low income,1.03,45754689
Ukraine,UKR,Europe & Central Asia,Lower middle income,0.995,44146328
United Arab Emirates,ARE,Middle East & North Africa,High income,1.06,10373089
United Kingdom,GBR,Europe & Central Asia,High income,1.01,67280880
United States,USA,North America,High income,1.01,330863098
Upper middle income,UMC,,,1.01,2878668554
Uruguay,URY,Latin America & Caribbean,High income,1.0,3469374
Uzbekistan,UZB,Europe & Central Asia,Lower middle income,1.02,34131524
Vanuatu,VUT,East Asia & Pacific,Lower middle income,1.03,307606
Venezuela,VEN,Latin America & Caribbean,Upper middle income,1.01,28763665
Vietnam,VNM,East Asia & Pacific,Lower middle income,1.01,97422562
Virgin Islands (U.S.),VIR,Latin America & Caribbean,High income,0.999,106526
West Bank and Gaza,PSE,Middle East & North Africa,Lower middle income,1.03,4803185
World,WLD,,,1.01,7765820252
Yemen,YEM,Middle East & North Africa,Low income,1.03,29964549
Zambia,ZMB,Sub-Saharan Africa,Lower middle income,1.03,18375249
Zimbabwe,ZWE,Sub-Saharan Africa,Lower middle income,1.01,14807575
