Country,Country Code,Avg Gdp Pc Factor,Gdp Per Capita
Nepal,NPL,1.08,1071
Netherlands,NLD,1.04,52448
New Caledonia,NCL,1.0,12580
New Zealand,NZL,1.06,42084
Nicaragua,NIC,1.03,1913
Niger,NER,1.06,555
Nigeria,NGA,1.07,2230
North America,NAC,1.03,63327
North Macedonia,MKD,1.06,6093
Norway,NOR,1.04,75420
OECD members,OED,1.03,39438
Oman,OMN,1.03,15474
Other small states,OSS,1.06,13982
Pacific island small states,PSS,1.05,4193
Pakistan,PAK,1.04,1285
Palau,PLW,1.0,7648
Panama,PAN,1.07,15731
Papua New Guinea,PNG,1.09,2845
Paraguay,PRY,1.06,5415
Peru,PER,1.07,6978
Philippines,PHL,1.06,3485
Poland,POL,1.07,15595
Portugal,PRT,1.04,23145
Post-demographic dividend,PST,1.03,45578
Pre-demographic dividend,PRE,1.07,1472
Puerto Rico,PRI,1.04,32874
Qatar,QAT,1.04,64782
Romania,ROU,1.11,12920
Russia,RUS,1.1,11585
Rwanda,RWA,1.07,802
Saint Kitts and Nevis,KNA,1.04,19896
Saint Lucia,LCA,1.04,11611
Saint Vincent and the Grenadines,VCT,1.04,7464
Samoa,WSM,1.06,4316
San Marino,SMR,1.0,36602
Saudi Arabia,SAU,1.05,23140
Senegal,SEN,1.05,1447
Serbia,SRB,1.12,7402
Seychelles,SYC,1.04,17402
Sierra Leone,SLE,1.07,504
Singapore,SGP,1.05,65233
Slovakia,SVK,1.07,19329
Slovenia,SVN,1.05,25739
Small states,SST,1.06,12731
Solomon Islands,SLB,1.04,2128
South Africa,ZAF,1.04,6001
South Asia,SAS,1.08,1960
South Asia (IDA & IBRD),TSA,1.08,1960
South Korea,KOR,1.05,31762
Spain,ESP,1.04,29614
Sri Lanka,LKA,1.08,3853
Sub-Saharan Africa,SSF,1.05,1585
Sub-Saharan Africa (IDA & IBRD countries),TSS,1.05,1585
Sub-Saharan Africa (excluding high income),SSA,1.05,1573
Sudan,SDN,1.01,442
Suriname,SUR,1.07,6855
Sweden,SWE,1.03,51610
Switzerland,CHE,1.04,81994
Syrian Arab Republic,SYR,1.0,1178
Tajikistan,TJK,1.1,871
Tanzania,TZA,1.05,1122
Thailand,THA,1.07,7808
Timor-Leste,TLS,1.06,1294
Togo,TGO,1.04,676
Tonga,TON,1.0,2066
Trinidad and Tobago,TTO,1.05,17276
Tunisia,TUN,1.02,3318
Turkey,TUR,1.04,9042
Turkmenistan,TKM,1.0,643
Tuvalu,TUV,1.06,4059
Uganda,UGA,1.06,777
Ukraine,UKR,1.1,3659
United Arab Emirates,ARE,1.01,43103
United Kingdom,GBR,1.02,42300
United States,USA,1.03,65281
Upper middle income,UMC,1.09,9040
Uruguay,URY,1.05,16190
Uzbekistan,UZB,1.06,1725
Vanuatu,VUT,1.04,3058
Venezuela,VEN,1.0,4842
Vietnam,VNM,1.11,2715
West Bank and Gaza,PSE,1.0,1476
World,WLD,1.04,11436
Yemen,YEM,1.0,554
Zambia,ZMB,1.07,1291
Zimbabwe,ZWE,1.05,1464
