Income Group,Date,Estimated Population,Total Tests,Confirmed,Recovered,Deaths,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi,Tests Per Confirmed,Tests Per 1Mi
Upper middle income,2020-02-04,2599475050,7547.0,22435,5317,485,22435,5802,16633,3321.0,3321.0,1190.29,71.86,1262.14,2058.86,141.57,171.77,5.06,176.83,-35.2571,-75.7029,-0.2949,,0.0836,8.63,0.187,2.05,2.23,6.4,0.336,2.9
Upper middle income,2020-02-05,2599475050,8168.0,26005,6757,557,26005,7314,18691,3414.43,3414.43,1372.0,77.29,1449.29,1965.14,38.69,169.4,4.23,173.63,-134.9429,-92.4686,11.24,,0.0762,10.0,0.214,2.6,2.81,7.19,0.314,3.14
Upper middle income,2020-02-06,2599475050,8604.0,28987,8387,626,28987,9013,19974,3173.0,3173.0,1551.43,76.43,1627.86,1545.14,-45.0571,157.14,4.23,161.37,-206.4286,-18.2,21.47,,0.0695,11.15,0.241,3.23,3.47,7.68,0.297,3.31
Upper middle income,2020-02-07,2599475050,8978.0,32357,10119,710,32357,10829,21528,3100.14,3100.14,1686.0,82.43,1768.43,1331.71,-191.1143,141.51,1.09,142.6,-333.7143,25.73,28.79,-0.1104,0.0656,12.45,0.273,3.89,4.17,8.28,0.277,3.45
Upper middle income,2020-02-08,2599475050,9108.0,34951,11993,794,34951,12787,22164,2832.0,2832.0,1802.43,87.0,1889.43,942.57,135.43,107.14,5.11,112.26,23.17,45.82,41.09,-5.9237,0.0621,13.45,0.305,4.61,4.92,8.53,0.261,3.5
Upper middle income,2020-02-09,2599475050,9294.0,37881,13911,890,37881,14801,23080,2365.43,2365.43,1897.86,77.29,1975.14,390.29,270.2,107.23,7.14,114.37,155.83,68.25,-0.8469,-11.9591,0.0601,14.57,0.342,5.35,5.69,8.88,0.245,3.58
Upper middle income,2020-02-10,2599475050,9673.0,40316,15904,996,40316,16900,23416,4091.57,4091.57,1907.71,102.86,2010.57,2081.0,267.77,120.94,7.54,128.49,139.29,113.01,-18.376,-15.7017,0.0589,15.51,0.383,6.12,6.5,9.01,0.24,3.72
Upper middle income,2020-02-11,2599475050,10044.0,42259,17934,1094,42259,19028,23231,4524.0,4524.0,2087.57,112.14,2199.71,2324.29,296.2,134.37,6.83,141.2,155.0,-22.4343,-38.3257,-20.576,0.0575,16.26,0.421,6.9,7.32,8.94,0.238,3.86
Upper middle income,2020-02-12,2599475050,10363.0,42563,20042,1098,42563,21140,21423,4439.0,4439.0,2290.71,120.14,2410.86,2028.14,373.91,146.8,8.46,155.26,218.66,-66.1543,-49.7177,-4.3856,0.0519,16.37,0.422,7.71,8.13,8.24,0.243,3.99
Upper middle income,2020-02-13,2599475050,10704.0,57628,21741,1346,57628,23087,34541,4313.0,4313.0,2474.29,121.14,2595.43,1717.57,23.26,170.77,4.4,175.17,-151.9143,-145.8114,-61.7851,1.14,0.0583,22.17,0.518,8.36,8.88,13.29,0.186,4.12
Upper middle income,2020-02-14,2599475050,10917.0,64025,24732,1495,64025,26227,37798,4235.0,4235.0,2631.86,119.57,2751.43,1483.57,-60.5714,155.8,5.57,161.37,-221.9429,-180.3371,-22.7749,14.58,0.057,24.63,0.575,9.51,10.09,14.54,0.171,4.2
Upper middle income,2020-02-15,2599475050,11003.0,66024,28028,1635,66024,29663,36361,4207.86,4207.86,2761.57,124.86,2886.43,1321.43,-461.2857,140.94,0.314,141.26,-602.5429,-195.92,-12.6914,20.75,0.0551,25.4,0.629,10.78,11.41,13.99,0.167,4.23
Upper middle income,2020-02-16,2599475050,11139.0,68072,31231,1738,68072,32969,35103,4221.14,4221.14,2866.57,140.0,3006.57,1214.57,-605.4857,90.57,-4.1429,86.43,-691.9143,-136.3086,34.56,23.91,0.0527,26.19,0.669,12.01,12.68,13.5,0.164,4.29
Upper middle income,2020-02-17,2599475050,11509.0,69961,34327,1833,69961,36160,33801,2132.57,2132.57,2995.43,121.71,3117.14,-984.5714,-605.6857,25.6,-2.0286,23.57,-629.2571,-129.6114,54.04,14.58,0.0507,26.91,0.705,13.21,13.91,13.0,0.165,4.43
Upper middle income,2020-02-18,2599475050,11875.0,71714,37265,1968,71714,39233,32481,1285.57,1285.57,2927.14,100.43,3027.57,-1742.0,-658.2857,-27.7143,-5.9714,-33.6857,-624.6,26.99,57.78,12.85,0.0502,27.59,0.757,14.34,15.09,12.5,0.166,4.57
Upper middle income,2020-02-19,2599475050,12337.0,72111,40108,2078,72111,42186,29925,1206.57,1206.57,2759.86,109.43,2869.29,-1662.7143,-708.6286,-83.0286,-7.4286,-90.4571,-618.1714,89.85,50.12,-5.507,0.0493,27.74,0.799,15.43,16.23,11.51,0.171,4.75
Upper middle income,2020-02-20,2599475050,12724.0,72556,42709,2198,72556,44907,27649,916.43,916.43,2623.0,95.0,2718.0,-1801.5714,-326.3143,-141.0857,-5.6286,-146.7143,-179.6,92.97,51.56,-13.2834,0.0489,27.91,0.846,16.43,17.28,10.64,0.175,4.89
Upper middle income,2020-02-21,2599475050,12925.0,73024,45222,2198,73024,47420,25604,678.0,678.0,2451.43,102.86,2554.29,-1876.2857,-156.2286,-160.0,-3.0286,-163.0286,6.8,114.3,7.03,-14.3625,0.0464,28.09,0.846,17.4,18.24,9.85,0.177,4.97
Upper middle income,2020-02-22,2599475050,13156.0,74470,47347,2401,74470,49748,24722,501.0,501.0,2290.0,93.57,2383.57,-1882.5714,-140.8571,-154.9143,-7.4857,-162.4,21.54,128.17,-12.3794,-14.1509,0.0483,28.65,0.924,18.21,19.14,9.51,0.177,5.06
Upper middle income,2020-02-23,2599475050,13516.0,74487,49592,2403,74487,51995,22492,504.43,504.43,2127.14,85.29,2212.43,-1708.0,-86.7714,-157.0857,-3.3429,-160.4286,73.66,62.13,-14.0354,-14.9744,0.0462,28.65,0.924,19.08,20.0,8.65,0.181,5.2
Upper middle income,2020-02-24,2599475050,14192.0,74707,51487,2553,74707,54040,20667,502.29,502.29,1985.29,72.0,2057.29,-1555.0,-67.8,-144.3714,-9.4,-153.7714,85.97,27.95,-20.632,-4.0114,0.0472,28.74,0.982,19.81,20.79,7.95,0.19,5.46
Upper middle income,2020-02-25,2599475050,14826.0,75221,53295,2623,75221,55918,19303,482.57,482.57,1837.57,78.29,1915.86,-1433.2857,-15.6857,-139.3429,-6.6,-145.9429,130.26,22.79,-23.3166,1.17,0.0469,28.94,1.01,20.5,21.51,7.43,0.197,5.7
Upper middle income,2020-02-26,2599475050,15888.0,75642,54998,2675,75642,57673,17969,339.0,339.0,1729.57,55.86,1785.43,-1446.4286,-16.4571,-126.0286,-8.0286,-134.0571,117.6,11.14,-13.0309,1.76,0.0464,29.1,1.03,21.16,22.19,6.91,0.21,6.11
Upper middle income,2020-02-27,2599475050,17369.0,76072,56606,2702,76072,59308,16764,422.57,422.57,1593.29,60.57,1653.86,-1231.2857,-26.9143,-116.9714,-6.4286,-123.4,96.49,11.58,-6.5451,3.61,0.0456,29.26,1.04,21.78,22.82,6.45,0.228,6.68
Upper middle income,2020-02-28,2599475050,18821.0,76402,58085,2746,76402,60831,15571,422.14,422.14,1497.0,45.14,1542.14,-1120.0,-31.0571,-106.5143,-8.0857,-114.6,83.54,-3.0286,-5.2137,4.02,0.0451,29.39,1.06,22.34,23.4,5.99,0.246,7.24
Upper middle income,2020-02-29,2599475050,19577.0,76843,59454,2792,76843,62246,14597,367.71,367.71,1400.43,39.86,1440.29,-1072.5714,-9.8857,-103.6,-3.4571,-107.0571,97.17,-4.7714,-2.5691,2.74,0.0449,29.56,1.07,22.87,23.95,5.62,0.255,7.53
Upper middle income,2020-03-01,2599475050,20343.0,77445,60745,2827,77445,63572,13873,327.29,327.29,1305.0,37.86,1342.86,-1015.5714,-30.8286,-93.4286,-4.8,-98.2286,67.4,-3.28,-3.2377,1.65,0.0445,29.79,1.09,23.37,24.46,5.34,0.263,7.83
Upper middle income,2020-03-02,2599475050,21542.0,77662,61966,2869,77662,64835,12827,289.57,289.57,1211.57,38.57,1250.14,-960.5714,-40.3143,-89.8571,-2.2,-92.0571,51.74,-1.7029,0.675,1.49,0.0443,29.88,1.1,23.84,24.94,4.93,0.277,8.29
Upper middle income,2020-03-03,2599475050,27649.0,77795,63098,2902,77795,66000,11795,268.43,268.43,1126.14,36.57,1162.71,-894.2857,-43.3143,-86.1143,-1.2571,-87.3714,44.06,-4.6057,1.69,0.932,0.044,29.93,1.12,24.27,25.39,4.54,0.355,10.64
Upper middle income,2020-03-04,2599475050,23247.0,77933,64133,2940,77933,67073,10860,220.57,220.57,1047.71,34.14,1081.86,-861.2857,-39.5714,-81.9714,-1.4,-83.3714,43.8,0.349,2.25,1.16,0.0438,29.98,1.13,24.67,25.8,4.18,0.298,8.94
Upper middle income,2020-03-05,2599475050,24247.0,78099,65087,2972,78099,68059,10040,151.14,151.14,969.86,33.57,1003.43,-852.2857,-32.9143,-77.3143,-1.9714,-79.2857,46.37,3.7,2.09,0.222,0.0437,30.04,1.14,25.04,26.18,3.86,0.31,9.33
Upper middle income,2020-03-06,2599475050,25355.0,78281,65968,3002,78281,68970,9311,129.43,129.43,895.14,30.86,926.0,-796.5714,-29.0857,-73.2286,-1.8857,-75.1143,46.03,7.97,2.58,-0.0601,0.0435,30.11,1.15,25.38,26.53,3.58,0.324,9.75
Upper middle income,2020-03-07,2599475050,27020.0,78387,66788,3031,78387,69819,8568,125.0,125.0,825.0,28.71,853.71,-728.7143,-21.8,-68.9429,-1.9714,-70.9143,49.11,8.76,1.79,-0.4183,0.0434,30.15,1.17,25.69,26.86,3.3,0.345,10.39
Upper middle income,2020-03-08,2599475050,27530.0,78503,67534,3062,78503,70596,7907,123.0,123.0,760.0,27.14,787.14,-664.1429,-3.4571,-64.1429,-2.3143,-66.4571,63.0,8.3,1.39,-0.2841,0.0434,30.2,1.18,25.98,27.16,3.04,0.351,10.59
Upper middle income,2020-03-09,2599475050,28650.0,78568,68232,3085,78568,71317,7251,111.57,111.57,703.0,24.29,727.29,-615.7143,4.23,-58.5714,-2.0857,-60.6571,64.89,9.29,0.159,-0.2416,0.0433,30.22,1.19,26.25,27.44,2.79,0.365,11.02
Upper middle income,2020-03-10,2599475050,29919.0,78670,68873,3103,78670,71976,6694,133.86,133.86,649.14,22.0,671.14,-537.2857,8.57,-52.6,-2.2571,-54.8571,63.43,10.67,0.672,0.0144,0.0431,30.26,1.19,26.49,27.69,2.58,0.38,11.51
Upper middle income,2020-03-11,2599475050,31533.0,78794,69453,3130,78794,72583,6211,150.57,150.57,602.29,20.43,622.71,-472.1429,17.34,-46.9714,-2.1714,-49.1429,66.49,8.77,1.37,0.336,0.0431,30.31,1.2,26.72,27.92,2.39,0.4,12.13
Upper middle income,2020-03-12,2599475050,44080.0,78880,70008,3142,78880,73150,5730,167.86,167.86,562.0,17.43,579.43,-411.5714,31.57,-41.5143,-1.6286,-43.1429,74.71,12.12,1.86,0.791,0.043,30.34,1.21,26.93,28.14,2.2,0.559,16.96
Upper middle income,2020-03-13,2599475050,37231.0,79218,70512,3156,79218,73668,5550,209.71,209.71,525.14,16.29,541.43,-331.7143,40.37,-35.1143,-1.1143,-36.2286,76.6,15.16,3.08,0.453,0.0428,30.47,1.21,27.13,28.34,2.14,0.47,14.32
Upper middle income,2020-03-14,2599475050,40580.0,79441,71004,3174,79441,74178,5263,269.43,269.43,495.43,16.14,511.57,-242.1429,64.83,-29.1429,-0.3429,-29.4857,94.31,18.58,4.12,0.177,0.0428,30.56,1.22,27.31,28.54,2.02,0.511,15.61
Upper middle income,2020-03-15,2599475050,45057.0,79678,71468,3184,79678,74652,5026,335.71,335.71,473.57,16.43,490.0,-154.2857,84.37,-21.5143,0.771,-20.7429,105.11,26.05,2.94,-0.0523,0.0427,30.65,1.22,27.49,28.72,1.93,0.565,17.33
Upper middle income,2020-03-16,2599475050,67604.0,80036,71908,3199,80036,75107,4929,474.71,474.71,456.57,18.71,475.29,-0.5714,110.26,-12.3714,1.23,-11.1429,121.4,29.34,2.26,-0.819,0.0426,30.79,1.23,27.66,28.89,1.9,0.845,26.01
Upper middle income,2020-03-17,2599475050,57825.0,80556,72341,3216,80556,75557,4999,589.71,589.71,454.43,21.29,475.71,114.0,161.83,-3.1143,3.0,-0.1143,161.94,26.81,1.6,-1.1184,0.0426,30.99,1.24,27.83,29.07,1.92,0.718,22.24
Upper middle income,2020-03-18,2599475050,63055.0,81144,72768,3245,81144,76013,5131,761.0,761.0,463.29,22.43,485.71,275.29,187.09,11.14,3.4,14.54,172.54,26.44,-1.0194,-0.8907,0.0427,31.22,1.25,27.99,29.24,1.97,0.777,24.26
Upper middle income,2020-03-19,2599475050,72782.0,82203,73204,3273,82203,76477,5726,1078.57,1078.57,479.86,31.14,511.0,567.57,198.89,26.23,4.17,30.4,168.49,26.57,-1.4766,-0.851,0.0428,31.62,1.26,28.16,29.42,2.2,0.885,28.0
Upper middle income,2020-03-20,2599475050,100560.0,83346,73693,3305,83346,76998,6348,1271.14,1271.14,529.29,33.43,562.71,708.43,216.57,41.14,4.34,45.49,171.09,20.95,-1.5154,-0.5376,0.0429,32.06,1.27,28.35,29.62,2.44,1.21,38.68
Upper middle income,2020-03-21,2599475050,85168.0,84768,74247,3331,84768,77578,7190,1469.14,1469.14,587.71,39.57,627.29,841.86,243.11,55.57,5.57,61.14,181.97,21.96,-1.9989,0.108,0.0429,32.61,1.28,28.56,29.84,2.77,1.0,32.76
Upper middle income,2020-03-22,2599475050,95474.0,87228,74827,3402,87228,78229,8999,1672.57,1672.57,660.14,43.0,703.14,969.43,266.6,72.49,5.23,77.71,188.89,19.23,-1.0903,-0.0624,0.0435,33.56,1.31,28.79,30.09,3.46,1.09,36.73
Upper middle income,2020-03-23,2599475050,106059.0,88934,75613,3433,88934,79046,9888,1976.57,1976.57,741.14,50.29,791.43,1185.14,296.89,87.71,7.14,94.86,202.03,16.45,-0.4811,0.16,0.0434,34.21,1.32,29.09,30.41,3.8,1.19,40.8
Upper middle income,2020-03-24,2599475050,116657.0,90840,76455,3493,90840,79948,10892,2411.57,2411.57,842.29,57.29,899.57,1512.0,295.06,106.14,7.09,113.23,181.83,21.12,-1.7886,0.505,0.0437,34.95,1.34,29.41,30.76,4.19,1.28,44.88
Upper middle income,2020-03-25,2599475050,107764.0,92852,77389,3546,92852,80935,11917,2755.57,2755.57,967.86,69.14,1037.0,1718.57,298.8,121.09,8.86,129.94,168.86,18.55,-0.7143,-0.5253,0.0438,35.72,1.36,29.77,31.14,4.58,1.16,41.46
Upper middle income,2020-03-26,2599475050,138268.0,96039,78392,3625,96039,82017,14022,2944.43,2944.43,1118.43,75.0,1193.43,1751.0,348.71,134.74,10.34,145.09,203.63,13.02,0.528,-0.7221,0.0442,36.95,1.39,30.16,31.55,5.39,1.44,53.19
Upper middle income,2020-03-27,2599475050,208357.0,100227,79589,3706,100227,83295,16932,3166.57,3166.57,1265.57,87.29,1352.86,1813.71,359.34,150.63,13.09,163.71,195.63,15.66,-3.7166,-0.291,0.0445,38.56,1.43,30.62,32.04,6.51,2.08,80.15
Upper middle income,2020-03-28,2599475050,230531.0,104057,81022,3815,104057,84837,19220,3720.14,3720.14,1414.86,102.0,1516.86,2203.29,361.97,165.26,16.29,181.54,180.43,19.09,-4.0914,0.088,0.045,40.03,1.47,31.17,32.64,7.39,2.22,88.68
Upper middle income,2020-03-29,2599475050,253949.0,107839,82656,3927,107839,86583,21256,4208.29,4208.29,1595.43,122.71,1718.14,2490.14,373.37,179.09,18.71,197.8,175.57,2.54,-3.2434,-0.0491,0.0454,41.48,1.51,31.8,33.31,8.18,2.35,97.69
Upper middle income,2020-03-30,2599475050,306964.0,111100,84472,4044,111100,88516,22584,4565.43,4565.43,1794.14,150.57,1944.71,2620.71,394.23,192.66,20.86,213.51,180.71,-1.9086,-0.2743,2.43,0.0457,42.74,1.56,32.5,34.05,8.69,2.76,118.09
Upper middle income,2020-03-31,2599475050,348195.0,116881,86359,4207,116881,90566,26315,4811.29,4811.29,2013.86,168.57,2182.43,2628.86,361.4,209.66,20.6,230.26,131.14,-3.2,0.282,2.84,0.0465,44.96,1.62,33.22,34.84,10.12,2.98,133.95
Upper middle income,2020-04-01,2599475050,379331.0,122310,88557,4405,122310,92962,29348,5137.71,5137.71,2228.86,191.57,2420.43,2717.29,349.8,220.91,21.0,241.91,107.89,14.29,8.42,2.95,0.0474,47.05,1.69,34.07,35.76,11.29,3.1,145.93
Upper middle income,2020-04-02,2599475050,381303.0,127997,90951,4679,127997,95630,32367,5527.14,5527.14,2463.14,205.0,2668.14,2859.0,345.97,232.86,18.89,251.74,94.23,20.5,10.1,0.543,0.0489,49.24,1.8,34.99,36.79,12.45,2.98,146.68
Upper middle income,2020-04-03,2599475050,415608.0,133906,93686,4886,133906,98572,35334,5957.29,5957.29,2700.0,227.71,2927.71,3029.57,444.83,239.6,20.71,260.31,184.51,44.63,11.49,-0.9911,0.0496,51.51,1.88,36.04,37.92,13.59,3.1,159.88
Upper middle income,2020-04-04,2599475050,450984.0,140021,96624,5156,140021,101780,38241,6295.29,6295.29,2958.43,245.0,3203.43,3091.86,496.71,258.09,19.26,277.34,219.37,48.61,2.44,-5.3813,0.0507,53.87,1.98,37.17,39.15,14.71,3.22,173.49
Upper middle income,2020-04-05,2599475050,480813.0,146529,99898,5362,146529,105260,41269,7035.43,7035.43,3211.86,272.14,3484.0,3551.43,584.57,275.4,21.66,297.06,287.51,54.26,-4.6731,-6.3765,0.0509,56.37,2.06,38.43,40.49,15.88,3.28,184.97
Upper middle income,2020-04-06,2599475050,569055.0,152801,103372,5638,152801,109010,43791,7621.29,7621.29,3519.29,287.86,3807.14,3814.14,592.83,305.37,18.14,323.51,269.31,26.5,-18.4869,-7.6085,0.0517,58.78,2.17,39.77,41.94,16.85,3.72,218.91
Upper middle income,2020-04-07,2599475050,596015.0,160948,107068,5922,160948,112990,47958,8450.0,8450.0,3840.14,313.29,4153.43,4296.57,617.26,328.4,19.37,347.77,269.49,-2.8686,-21.7794,-4.8094,0.0524,61.92,2.28,41.19,43.47,18.45,3.7,229.28
Upper middle income,2020-04-08,2599475050,686815.0,171558,111040,6310,171558,117350,54208,8921.43,8921.43,4226.86,318.43,4545.29,4376.14,577.31,356.29,16.09,372.37,204.94,-47.8,-26.5509,-1.4117,0.0538,66.0,2.43,42.72,45.14,20.85,4.0,264.21
Upper middle income,2020-04-09,2599475050,744570.0,181346,115586,6694,181346,122280,59066,9381.57,9381.57,4600.43,341.86,4942.29,4439.29,482.37,371.06,20.03,391.09,91.29,-60.2914,-21.6057,4.21,0.0547,69.76,2.58,44.47,47.04,22.72,4.11,286.43
Upper middle income,2020-04-10,2599475050,752195.0,193056,120567,7079,193056,127646,65410,9922.0,9922.0,4993.29,352.57,5345.86,4576.14,345.57,382.31,17.09,399.4,-53.8286,-78.4971,-11.7314,6.1,0.0555,74.27,2.72,46.38,49.1,25.16,3.9,289.36
Upper middle income,2020-04-11,2599475050,827780.0,202471,126212,7385,202471,133597,68874,10033.14,10033.14,5374.57,388.0,5762.57,4270.57,291.37,375.51,18.6,394.11,-102.7429,-81.5314,2.55,7.98,0.0553,77.89,2.84,48.55,51.39,26.5,4.09,318.44
Upper middle income,2020-04-12,2599475050,939055.0,212200,132101,7755,212200,139856,72344,10177.86,10177.86,5751.71,398.71,6150.43,4027.43,224.77,330.57,54.6,385.17,-160.4,-61.5257,8.7,7.64,0.0554,81.63,2.98,50.82,53.8,27.83,4.43,361.25
Upper middle income,2020-04-13,2599475050,1.001073e6,222255,138325,8106,222255,146431,75824,10378.29,10378.29,6104.43,411.43,6515.86,3862.43,169.66,309.71,60.63,370.34,-200.6857,-35.0743,13.33,7.19,0.0554,85.5,3.12,53.21,56.33,29.17,4.5,385.11
Upper middle income,2020-04-14,2599475050,1.070949e6,231180,144690,8638,231180,153328,77852,10505.43,10505.43,6253.29,614.86,6868.14,3637.29,174.74,296.83,55.2,352.03,-177.2857,-16.7714,16.59,4.14,0.0563,88.93,3.32,55.66,58.98,29.95,4.63,411.99
Upper middle income,2020-04-15,2599475050,1.137757e6,242803,151302,9101,242803,160403,82400,10770.29,10770.29,6541.86,655.71,7197.57,3572.71,170.2,281.51,54.57,336.09,-165.8857,-11.8629,24.24,1.53,0.0567,93.4,3.5,58.2,61.71,31.7,4.69,437.69
Upper middle income,2020-04-16,2599475050,1.133407e6,253994,158317,9574,253994,167891,86103,10906.86,10906.86,6858.71,664.0,7522.71,3384.14,207.51,268.49,52.49,320.97,-113.4571,1.43,23.25,1.03,0.057,97.71,3.68,60.9,64.59,33.12,4.46,436.01
Upper middle income,2020-04-17,2599475050,1.293514e6,266594,164340,11383,266594,175723,90871,11028.86,11028.86,7159.29,671.57,7830.86,3198.0,165.46,296.51,13.94,310.46,-145.0,59.68,16.37,0.224,0.0648,102.56,4.38,63.22,67.6,34.96,4.85,497.61
Upper middle income,2020-04-18,2599475050,1.380126e6,277863,172005,11975,277863,183980,93883,11415.86,11415.86,7446.86,673.86,8120.71,3295.14,176.83,283.37,14.29,297.66,-120.8286,81.15,18.49,-7.3006,0.0651,106.89,4.61,66.17,70.78,36.12,4.97,530.92
Upper middle income,2020-04-19,2599475050,1.481631e6,288548,180112,12403,288548,192515,96033,11332.71,11332.71,7735.86,684.57,8420.43,2912.29,473.14,302.54,-15.9429,286.6,186.54,65.09,17.71,-8.6656,0.0644,111.0,4.77,69.29,74.06,36.94,5.13,569.97
Upper middle income,2020-04-20,2599475050,1.670436e6,299457,188440,12807,299457,201247,98210,11654.43,11654.43,7958.71,727.14,8685.86,2968.57,575.97,318.17,-14.6286,303.54,272.43,80.6,-12.2617,-8.1934,0.0636,115.2,4.93,72.49,77.42,37.78,5.58,642.61
Upper middle income,2020-04-21,2599475050,1.755316e6,311091,196818,13355,311091,210173,100918,13272.57,13272.57,8371.43,584.29,8955.71,4316.86,532.94,342.31,-13.8571,328.46,204.49,89.99,-20.0823,-9.8498,0.0635,119.67,5.14,75.71,80.85,38.82,5.64,675.26
Upper middle income,2020-04-22,2599475050,1.867083e6,322132,205453,13893,322132,219346,102786,13908.71,13908.71,8750.14,598.43,9348.57,4560.14,568.46,354.54,-7.5429,347.0,221.46,-1.6286,-24.5954,-10.5029,0.0633,123.92,5.34,79.04,84.38,39.54,5.8,718.25
Upper middle income,2020-04-23,2599475050,1.947919e6,335575,214028,14664,335575,228692,106883,14080.57,14080.57,9158.43,604.57,9763.0,4317.57,626.8,368.46,-1.5429,366.91,259.89,-19.2571,-30.7566,0.319,0.0641,129.09,5.64,82.34,87.98,41.12,5.8,749.35
Upper middle income,2020-04-24,2599475050,2.017022e6,359502,222940,15473,359502,238413,121089,14175.0,14175.0,9508.57,646.86,10155.43,4019.57,465.0,354.71,36.0,390.71,74.29,-57.8914,-34.8023,1.61,0.0649,138.3,5.95,85.76,91.72,46.58,5.61,775.93
Upper middle income,2020-04-25,2599475050,2.108955e6,375224,233256,16164,375224,249420,125804,14788.43,14788.43,9801.0,719.43,10520.43,4268.0,479.69,360.17,37.09,397.26,82.43,-73.1829,-10.6686,8.78,0.0648,144.35,6.22,89.73,95.95,48.4,5.62,811.3
Upper middle income,2020-04-26,2599475050,2.202183e6,387112,244221,16635,387112,260856,126256,15597.57,15597.57,10145.0,764.29,10909.29,4688.29,243.49,365.91,38.71,404.63,-161.1429,-84.0171,-12.0446,11.2,0.0638,148.92,6.4,93.95,100.35,48.57,5.69,847.16
Upper middle income,2020-04-27,2599475050,2.303964e6,398682,255000,17335,398682,272335,126347,16307.14,16307.14,10551.0,783.86,11334.86,4972.29,202.54,351.03,39.11,390.14,-187.6,-54.9714,19.29,12.33,0.0637,153.37,6.67,98.1,104.77,48.6,5.78,886.32
Upper middle income,2020-04-28,2599475050,2.396337e6,414610,265425,18391,414610,283816,130794,15298.0,15298.0,10988.0,798.14,11786.14,3511.86,206.71,339.17,33.97,373.14,-166.4286,-79.48,25.24,6.52,0.0648,159.5,7.07,102.11,109.18,50.32,5.78,921.85
